,Club ID,Club
0,1,Tigres UANL
1,2,Newcastle United Jets FC
2,3,Charlton Athletic FC
3,4,FC Barcelona
4,5,Galatasaray SK
5,6,Atletico Madrid
6,7,US Citta di Palermo
7,8,Manchester United FC
8,9,Manchester City FC
9,10,FC Schalke 04
10,11,SSC Napoli
11,12,Club Santos Laguna
12,13,Sporting CP
13,14,SS Lazio
14,15,FSV Mainz 05
15,16,Liverpool FC
16,17,Fluminense FC
17,18,FC Basel
18,19,SC Heerenveen
19,20,Southampton FC
20,21,Malmo FF
21,22,Al Ain FC
22,23,GNK Dinamo Zagreb
23,24,San Jose Earthquakes
24,25,New York Red Bulls
25,26,Shakhtar Donetsk
26,27,Chelsea FC
27,28,Real Espana
28,29,Cerezo Osaka
29,30,Valencia CF
30,31,Real Madrid CF
31,32,New England Revolution
32,33,FC Rubin Kazan
33,34,1. FC Nuernberg
34,35,CA River Plate
35,36,AC Milan
36,37,Fenerbahce SK
37,38,Arsenal FC
38,39,FC Porto
39,40,Watford FC
40,41,TSV 1860 Muenchen
41,42,VfB Stuttgart
42,43,FC Zuerich
43,44,Cruz Azul FC
44,45,FC Bayern Muenchen
45,46,Borussia Dortmund
46,47,Seattle Sounders FC
47,48,Swansea City AFC
48,49,Konyaspor
49,50,Lille OSC
50,51,FC Dynamo Kyiv
51,52,RCD Espanyol
52,53,CF Pachuca
53,54,Newcastle United FC
54,55,FC Zenit St. Petersburg
55,56,Cercle Brugge
56,57,Real Sociedad
57,58,Paris Saint-Germain FC
58,59,Besiktas JK
59,60,Atletico Mineiro
60,61,Everton FC
61,62,Guizhou Renhe FC
62,63,Fulham FC
63,64,Al Jazira SCC
64,65,Kuban Krasnodar
65,66,Club Tijuana
66,67,Sevilla FC
67,68,FC Internazionale
68,69,FC Augsburg
69,70,Sunderland AFC
70,71,CSD Colo-Colo
71,72,FC Krasnodar
72,73,Hannover 96
73,74,Sangju Sangmu FC
74,75,CA Newells Old Boys
75,76,Olympiacos Piraeus FC
76,77,Parma FC
77,78,Kuwait SC
78,79,AS Roma
79,80,CSKA Moscow
80,81,Bayer 04 Leverkusen
81,82,Valenciennes FC
82,83,AZ Alkmaar
83,84,Yokohama F-Marinos
84,85,PSV Eindhoven
85,86,ACF Fiorentina
86,87,FC Dynamo Moscow
87,88,VfL Wolfsburg
88,89,Tractor Sazi Tabriz FC
89,90,LD Alajuelense
90,91,AIK Solna
91,92,Villarreal CF
92,93,CSD Cartagines
93,94,CA Monarcas Morelia
94,95,Tottenham Hotspur FC
95,96,Juventus FC
96,97,NEC Nijmegen
97,98,AS Monaco
98,99,FC Lokomotiv Moscow
99,100,Vitesse Arnheim
100,101,Al Gharafa SC
101,102,Club America
102,103,PAOK FC
103,104,Stoke City FC
104,105,Genoa CFC
105,106,FC Sochaux-Montbliard
106,107,SL Benfica
107,108,Grasshopper Club
108,109,Independiente Santa Fe
109,110,Cagliari Calcio
110,111,Rosenborg BK
111,112,Hull City FC
112,113,Borussia Moenchengladbach
113,114,CA San Lorenzo de Almagro
114,115,Olympique Marseille
115,116,Udinese Calcio
116,117,Puebla FC
117,118,Al Hilal FC
118,119,Toronto FC
119,120,Gaziantepspor
120,121,Celta Vigo
121,122,Club Africain
122,123,Eintracht Braunschweig
123,124,FSV Frankfurt
124,125,SV Zulte Waregem
125,126,Sporting Kansas City
126,127,Eintracht Frankfurt
127,128,Feyenoord Rotterdam
128,129,Club Leon
129,130,Santos FC
130,131,AS Nancy
131,132,AS Saint-Etienne
132,133,FC Spartak Moscow
133,134,Botafogo FR
134,135,Bolton Wanderers FC
135,136,Ulsan Hyundai FC
136,137,Cardiff City FC
137,138,Naft Tehran FC
138,139,FC Tokyo
139,140,CD Real Sociedad
140,141,Valerenga IF
141,142,Celtic FC
142,143,Sao Paulo FC
143,144,Atlante FC
144,145,Toulouse FC
145,146,Esteghlal Tehran FC
146,147,Stade Rennais FC
147,148,UD Las Palmas
148,149,SC Internacional
149,150,Melbourne Victory FC
150,151,CD Chivas USA
151,152,Wigan Athletic FC
152,153,West Bromwich Albion FC
153,154,TSG 1899 Hoffenheim
154,155,Crystal Palace FC
155,156,Kayseri Erciyesspor
156,157,FC Sion
157,158,CD Motagua
158,159,Kawasaki Frontale
159,160,Gamba Osaka
160,161,FC Lorient
161,162,Aalesunds FK
162,163,Hertha BSC
163,164,Norwich City FC
164,165,Perspolis FC
165,166,Palmeiras
166,167,Middlesbrough FC
167,168,FC Utrecht
168,169,Lekhwiya SC
169,170,Atalanta Bergamo
170,171,Columbus Crew
171,172,FC Twente
172,173,RSC Anderlecht
173,174,Antalyaspor AS
174,175,CS Herediano
175,176,Club Universidad de Chile
176,177,Bologna FC
177,178,FC Girondins Bordeaux
178,179,Umm Salal SC
179,180,Guangzhou Evergrande FC
180,181,Trabzonspor
181,182,Deportivo Saprissa
182,183,Jubilo Iwata
183,184,SC Freiburg
184,185,Nottingham Forest FC
185,186,Aston Villa FC
186,187,CD Olimpia
187,188,Evian TG FC
188,189,FC Nantes
189,190,FC Kobenhavn
190,191,Academica Coimbra
191,192,CS Emelec
192,193,Sepahan FC
193,194,Warri Wolves FC
194,195,Caykur Rizespor
195,196,US Sassuolo
196,197,Real Salt Lake
197,198,CR Flamengo
198,199,Hamburger SV
199,200,Houston Dynamo
200,201,Brisbane Roar FC
201,202,FC Platanias
202,203,Kayserispor
203,204,West Ham United FC
204,205,Deportivo Cali
205,206,FC Rostov
206,207,SC Bastia
207,208,KSC Lokeren
208,209,FK Borac Banja Luka
209,210,Adelaide United FC
210,211,Levante UD
211,212,Hellas Verona FC
212,213,CA Boca Juniors
213,214,Panathinaikos FC
214,215,Deportivo Toluca FC
215,216,Sporting Braga
216,217,CR Vasco da Gama
217,218,Standard Liege
218,219,BSC Young Boys
219,220,Calcio Catania
220,221,CF Monterrey
221,222,Hapoel Be'er Sheva FC
222,223,AC Ajaccio
223,224,Queens Park Rangers FC
224,225,Zob Ahan Isfahan FC
225,226,FC Anzhi Makhachkala
226,227,Olympique Lyonnais
227,228,Getafe CF
228,229,Barcelona SC
229,230,Suwon Bluewings FC
230,231,Qingdao Jonoon FC
231,232,Enugu Rangers FC
232,233,USM Alger
233,234,Jeonbuk Hyundai Motors FC
234,235,CS Constantine
235,236,Beijing Guoan
236,237,Orlando Pirates
237,238,AS Livorno
238,239,Granada CF
239,240,CSKA Sofia
240,241,Urawa Red Diamonds
241,242,Elche CF
242,243,HNK Hajduk Split
243,244,Kashiwa Reysol
244,245,CA Osasuna
245,246,Sanfrecce Hiroshima
246,247,LDU Quito
247,248,Vancouver Whitecaps FC
248,249,Esperance Sportive de Tunis
249,250,Sporting Covilha
250,251,Stromsgodset IF
251,252,RCD Mallorca
252,253,CD Universidad Catolica
253,254,Torino FC
254,255,Los Angeles Galaxy
255,256,FC Zorya Lugansk
256,257,FC Terek Grozny
257,258,Sewe Sport
258,259,Western Sydney Wanderers FC
259,260,CD El Nacional
260,261,AFC Ajax
261,262,Club Brugge KV
262,263,OGC Nice
263,264,FK Austria Wien
264,265,Guangzhou R&F FC
265,266,Atletico Nacional
266,267,FC Luzern
267,268,Elazigspor
268,269,Shandong Luneng Taishan FC
269,270,SK Sturm Graz
270,271,Fethiyespor
271,272,Aduana Stars
272,273,Istanbul BBSK
273,274,Club Nacional de Football
274,275,Sunshine Stars FC
275,276,Fortuna Duesseldorf
276,277,KV Waasland-Beveren
277,278,FC Ashdod
278,279,Leicester City FC
279,280,Stade de Reims
280,281,FK Amkar Perm
281,282,SC Heracles Almelo
282,283,Foolad Khuzestan FC
283,284,Coton Sport FC
284,285,Stabaek IF
285,286,Ferencvarosi TC
286,287,Swindon Town FC
287,288,UD Almeria
288,289,FC Volyn Lutsk
289,290,RC Lens
290,291,Mamelodi Sundowns FC
291,292,Club Libertad
292,293,VfR Aalen
293,294,Busan IPark FC
294,295,NK Lokomotiva Zagreb
295,296,Preston North End FC
296,297,HNK Rijeka
