,Club Country ID,Club (country)
0,1,Mexico
1,2,Australia
2,3,England
3,4,Spain
4,5,Turkey
5,6,Italy
6,7,Germany
7,8,Portugal
8,9,Brazil
9,10,Switzerland
10,11,Netherlands
11,12,Sweden
12,13,United Arab Emirates
13,14,Croatia
14,15,USA
15,16,Ukraine
16,17,Honduras
17,18,Japan
18,19,Russia
19,20,Argentina
20,21,France
21,22,Belgium
22,23,China
23,24,Chile
24,25,South Korea
25,26,Greece
26,27,Kuwait
27,28,Iran
28,29,Costa Rica
29,30,Qatar
30,31,Columbia
31,32,Norway
32,33,Saudi Arabia
33,34,Canada
34,35,Tunisia
35,36,Scotland
36,37,Denmark
37,38,Ecuador
38,39,Nigeria
39,40,Bosnia & Herzegovina
40,41,Israel
41,42,Algeria
42,43,South Africa
43,44,Bulgaria
44,45,Ivory Coast
45,46,Austria
46,47,Ghana
47,48,Uruguay
48,49,Cameroon
49,50,Hungary
50,51,Paraguay
