Player id,Player,Position,Number,D.O.B,Age,Height (cm),Caps,International goals,Plays in home country?,Day,Month,Year
336722,Alan PULIDO,Forward,11,08.03.1991,23,176,5,4,TRUE,8,3,1991
368902,Adam TAGGART,Forward,9,02.06.1993,21,172,4,3,TRUE,2,6,1993
362641,Reza GHOOCHANNEJAD,Forward,16,20.09.1987,26,181,13,9,FALSE,20,9,1987
314197,NEYMAR,Forward,10,05.02.1992,22,175,48,31,FALSE,5,2,1992
212306,Didier DROGBA,Forward,11,11.03.1978,36,180,100,61,FALSE,11,3,1978
229884,David VILLA,Forward,7,03.12.1981,32,175,95,56,TRUE,3,12,1981
305372,Abel HERNANDEZ,Forward,8,08.08.1990,23,186,12,7,FALSE,8,8,1990
228599,Javier HERNANDEZ,Forward,14,01.06.1988,26,175,61,35,FALSE,1,6,1988
300409,Edin DZEKO,Forward,11,17.03.1986,28,192,62,35,FALSE,17,3,1986
184615,Klaas Jan HUNTELAAR,Forward,19,12.08.1983,30,187,61,34,FALSE,12,8,1983
271550,Gonzalo HIGUAIN,Forward,9,10.12.1987,26,184,36,20,FALSE,10,12,1987
227851,Oribe PERALTA,Forward,19,12.01.1984,30,177,27,15,TRUE,12,1,1984
354859,Islam SLIMANI,Forward,13,18.06.1988,26,188,19,10,FALSE,18,6,1988
182206,Miroslav KLOSE,Forward,11,09.06.1978,36,182,131,68,FALSE,9,6,1978
217315,Robin VAN PERSIE,Forward,9,06.08.1983,30,186,84,43,FALSE,6,8,1983
286278,Shinji OKAZAKI,Forward,9,16.04.1986,28,174,75,38,FALSE,16,4,1986
270775,Luis SUAREZ,Forward,9,24.01.1987,27,181,77,39,FALSE,24,1,1987
233952,FRED,Forward,9,03.10.1983,30,186,32,16,TRUE,3,10,1983
312316,Eric CHOUPO MOTING,Forward,13,23.03.1989,25,190,26,13,FALSE,23,3,1989
356411,Fabian SCHAER,Defender,22,20.12.1991,22,186,6,3,TRUE,20,12,1991
338673,Uche NWOFOR,Forward,19,17.09.1991,22,177,6,3,FALSE,17,9,1991
373224,Rickie LAMBERT,Forward,18,16.02.1982,32,188,4,2,TRUE,16,2,1982
379894,Miiko ALBORNOZ,Defender,3,30.11.1990,23,180,2,1,FALSE,30,11,1990
208353,Asamoah GYAN,Forward,3,22.11.1985,28,186,77,38,FALSE,22,11,1985
296994,El Arabi SOUDANI,Forward,15,25.11.1987,26,177,21,10,FALSE,25,11,1987
339508,Chris WONDOLOWSKI,Forward,18,28.01.1983,31,182,19,9,TRUE,28,1,1983
213001,Tim CAHILL,Forward,4,06.12.1979,34,180,68,32,FALSE,6,12,1979
214384,EDUARDO_1,Forward,22,25.02.1983,31,177,62,29,FALSE,25,2,1983
170667,Samuel ETOO,Forward,9,10.03.1981,33,181,117,54,FALSE,10,3,1981
271414,Carlo COSTLY,Forward,13,18.07.1982,31,190,68,31,TRUE,18,7,1982
275096,Yoichiro KAKITANI,Forward,11,03.01.1990,24,177,11,5,TRUE,3,1,1990
270301,Eduardo VARGAS,Forward,11,20.11.1989,24,175,29,13,FALSE,20,11,1989
201200,CRISTIANO RONALDO,Forward,7,05.02.1985,29,185,110,49,FALSE,5,2,1985
323623,Jerry BENGTSON,Forward,11,08.04.1987,27,187,43,19,FALSE,8,4,1987
229397,Lionel MESSI,Forward,10,24.06.1987,26,169,84,37,FALSE,24,6,1987
235097,Mubarak WAKASO,Midfielder,22,25.07.1990,23,171,16,7,FALSE,25,7,1990
356399,Josip DRMIC,Forward,19,08.08.1992,21,182,7,3,FALSE,8,8,1992
196842,Wayne ROONEY,Forward,10,24.10.1985,28,176,90,38,TRUE,24,10,1985
228528,Sergio AGUERO,Forward,20,02.06.1988,26,172,50,21,FALSE,2,6,1988
309716,Teofilo GUTIERREZ,Forward,9,17.05.1985,29,180,29,12,FALSE,17,5,1985
301059,Mario BALOTELLI,Forward,9,12.08.1990,23,189,29,12,TRUE,12,8,1990
364763,Emmanuel EMENIKE,Forward,9,10.05.1987,27,182,22,9,FALSE,10,5,1987
196789,Lukas PODOLSKI,Forward,10,04.06.1985,29,180,113,46,FALSE,4,6,1985
187203,HELDER POSTIGA,Forward,23,02.08.1982,31,182,67,27,FALSE,2,8,1982
367261,Nabil GHILAS,Forward,9,20.04.1990,24,183,5,2,FALSE,20,4,1990
207761,PARK Chuyoung,Forward,10,10.07.1985,28,183,62,24,FALSE,10,7,1985
306548,Andre SCHUERRLE,Forward,9,06.11.1990,23,184,32,12,FALSE,6,11,1990
275136,Yuya OSAKO,Forward,18,18.05.1990,24,182,8,3,FALSE,18,5,1990
300411,Vedad IBISEVIC,Forward,9,06.08.1984,29,189,55,20,FALSE,6,8,1984
233500,Keisuke HONDA,Forward,4,13.06.1986,28,182,55,20,FALSE,13,6,1986
274034,Danny WELBECK,Forward,11,26.11.1990,23,184,22,8,TRUE,26,11,1990
306532,Daniel STURRIDGE,Forward,9,01.09.1989,24,179,11,4,TRUE,1,9,1989
319470,Mario GAVRANOVIC,Forward,17,24.11.1989,24,175,11,4,TRUE,24,11,1989
318601,Pedro RODRIGUEZ,Forward,11,28.07.1987,26,169,39,14,TRUE,28,7,1987
319311,Marco FABIAN,Midfielder,8,21.07.1989,24,171,14,5,TRUE,21,7,1989
321722,Thomas MUELLER,Forward,13,13.09.1989,24,186,48,17,TRUE,13,9,1989
214135,Pierre WEBO,Forward,15,20.01.1982,32,180,54,19,FALSE,20,1,1982
352394,Marco REUS,Forward,21,31.05.1989,25,180,20,7,TRUE,31,5,1989
207851,Clint DEMPSEY,Forward,8,09.03.1983,31,185,103,36,TRUE,9,3,1983
353118,Wilfried BONY,Forward,12,10.12.1988,25,182,23,8,FALSE,10,12,1988
230517,Theofanis GEKAS,Forward,17,23.05.1980,34,179,71,24,FALSE,23,5,1980
183864,Fernando TORRES,Forward,9,20.03.1984,30,186,107,36,FALSE,20,3,1984
216970,Salomon KALOU,Forward,8,05.08.1985,28,175,66,22,FALSE,5,8,1985
228627,Alexis SANCHEZ,Forward,7,19.12.1988,25,169,66,22,FALSE,19,12,1988
291393,KOO Jacheol,Forward,13,27.02.1989,25,182,36,12,FALSE,27,2,1989
298681,Jeremain LENS,Forward,17,24.11.1987,26,178,21,7,FALSE,24,11,1987
229506,Cristhian STUANI,Forward,11,12.10.1986,27,186,9,3,FALSE,12,10,1986
373400,Enner VALENCIA,Forward,13,04.11.1989,24,179,9,3,FALSE,4,11,1989
186455,Shola AMEOBI,Forward,23,12.10.1981,32,188,6,2,FALSE,12,10,1981
218306,WILLIAN,Midfielder,19,09.08.1988,25,176,6,2,FALSE,9,8,1988
358891,Oleg SHATOV,Midfielder,17,29.07.1990,23,176,6,2,TRUE,29,7,1990
306900,Okechukwu UCHEBO,Forward,20,03.02.1990,24,194,3,1,FALSE,3,2,1990
336435,Antoine GRIEZMANN,Forward,11,21.03.1991,23,175,3,1,FALSE,21,3,1991
189259,Diego FORLAN,Forward,10,19.05.1979,35,181,109,36,FALSE,19,5,1979
267834,Edinson CAVANI,Forward,21,14.02.1987,27,188,61,20,FALSE,14,2,1987
268596,Shinji KAGAWA,Forward,10,17.03.1989,25,172,56,18,FALSE,17,3,1989
214410,HUGO ALMEIDA,Forward,9,23.05.1984,30,193,54,17,FALSE,23,5,1984
305036,Mesut OEZIL,Midfielder,8,15.10.1988,25,180,54,17,FALSE,15,10,1988
186808,Aleksandr KERZHAKOV,Forward,11,27.11.1982,31,175,80,25,TRUE,27,11,1982
217172,JO,Forward,21,20.03.1987,27,191,16,5,TRUE,20,3,1987
358112,Romelu LUKAKU,Forward,9,13.05.1993,21,190,29,9,FALSE,13,5,1993
216071,Zvjezdan MISIMOVIC,Midfielder,10,05.06.1982,32,180,81,25,FALSE,5,6,1982
196812,Ashkan DEJAGAH,Forward,21,05.07.1986,27,182,13,4,FALSE,5,7,1986
228715,Felipe CAICEDO,Forward,11,05.09.1988,25,183,49,15,FALSE,5,9,1988
270144,Marcos URENA,Forward,21,05.03.1990,24,179,23,7,FALSE,5,3,1990
