Player id,Club
336722,Tigres UANL
368902,Newcastle United Jets FC
362641,Charlton Athletic FC
314197,FC Barcelona
212306,Galatasaray SK
229884,Atletico Madrid
305372,US Citta di Palermo
228599,Manchester United FC
300409,Manchester City FC
184615,FC Schalke 04
271550,SSC Napoli
227851,Club Santos Laguna
354859,Sporting CP
182206,SS Lazio
217315,Manchester United FC
286278,FSV Mainz 05
270775,Liverpool FC
233952,Fluminense FC
312316,FSV Mainz 05
356411,FC Basel
338673,SC Heerenveen
373224,Southampton FC
379894,Malmo FF
208353,Al Ain FC
296994,GNK Dinamo Zagreb
339508,San Jose Earthquakes
213001,New York Red Bulls
214384,Shakhtar Donetsk
170667,Chelsea FC
271414,Real Espana
275096,Cerezo Osaka
270301,Valencia CF
201200,Real Madrid CF
323623,New England Revolution
229397,FC Barcelona
235097,FC Rubin Kazan
356399,1. FC Nuernberg
196842,Manchester United FC
228528,Manchester City FC
309716,CA River Plate
301059,AC Milan
364763,Fenerbahce SK
196789,Arsenal FC
187203,SS Lazio
367261,FC Porto
207761,Watford FC
306548,Chelsea FC
275136,TSV 1860 Muenchen
300411,VfB Stuttgart
233500,AC Milan
274034,Manchester United FC
306532,Liverpool FC
319470,FC Zuerich
318601,FC Barcelona
319311,Cruz Azul FC
321722,FC Bayern Muenchen
214135,Fenerbahce SK
352394,Borussia Dortmund
207851,Seattle Sounders FC
353118,Swansea City AFC
230517,Konyaspor
183864,Chelsea FC
216970,Lille OSC
228627,FC Barcelona
291393,FSV Mainz 05
298681,FC Dynamo Kyiv
229506,RCD Espanyol
373400,CF Pachuca
186455,Newcastle United FC
218306,Chelsea FC
358891,FC Zenit St. Petersburg
306900,Cercle Brugge
336435,Real Sociedad
189259,Cerezo Osaka
267834,Paris Saint-Germain FC
268596,Manchester United FC
214410,Besiktas JK
305036,Arsenal FC
186808,FC Zenit St. Petersburg
217172,Atletico Mineiro
358112,Everton FC
216071,Guizhou Renhe FC
196812,Fulham FC
228715,Al Jazira SCC
270144,Kuban Krasnodar
349572,Club Tijuana
312868,Chelsea FC
349512,Sevilla FC
366573,FC Internazionale
184616,FC Bayern Muenchen
313832,FC Porto
330689,FC Augsburg
238072,Sunderland AFC
313874,CSD Colo-Colo
297383,FC Krasnodar
297103,Real Madrid CF
297839,Hannover 96
268149,Sangju Sangmu FC
274090,Liverpool FC
184291,CA Newells Old Boys
185385,Chelsea FC
307529,Olympiacos Piraeus FC
177927,Parma FC
319358,Valencia CF
267811,Manchester United FC
321653,FC Bayern Muenchen
185641,Kuwait SC
215002,Galatasaray SK
375518,FC Bayern Muenchen
318172,FC Zenit St. Petersburg
183000,AC Milan
318768,Fulham FC
200176,Manchester City FC
290186,AS Roma
302539,CSKA Moscow
309316,FC Bayern Muenchen
307849,Bayer 04 Leverkusen
367393,Valenciennes FC
375459,Club Tijuana
